iter	RMSE
0	49.87340751
1	48.11116441
2	46.24376852
3	44.39530902
4	42.76947685
5	41.3217046
6	39.8188563
7	38.27486825
8	36.80581177
9	35.38488618
10	34.11665176
11	32.87658639
12	31.58036838
13	30.52684281
14	29.42362456
15	28.40110607
16	27.35125965
17	26.35550364
18	25.3564548
19	24.38600558
20	23.62734633
21	22.81389053
22	22.06335387
23	21.30991539
24	20.61367442
25	19.92313991
26	19.27646841
27	18.63743215
28	18.01265665
29	17.44150113
30	16.84592711
31	16.26219276
32	15.75971457
33	15.25878772
34	14.76197664
35	14.26914841
36	13.85853294
37	13.463509
38	13.1279762
39	12.69795724
40	12.3169848
41	11.95346181
42	11.61919685
43	11.32186829
44	10.99881869
45	10.67161089
46	10.40307611
47	10.15029564
48	9.892462852
49	9.623152576
50	9.397876185
51	9.17885107
52	8.936530145
53	8.746732132
54	8.531761693
55	8.332134923
56	8.153520755
57	7.958141945
58	7.795894953
59	7.645383091
60	7.480738337
61	7.322304114
62	7.185269298
63	7.063328885
64	6.938668047
65	6.80683866
66	6.679071551
67	6.582779893
68	6.476315601
69	6.373997409
70	6.278343992
71	6.179083565
72	6.082491225
73	5.982159369
74	5.888254401
75	5.806063256
76	5.723894168
77	5.641826831
78	5.571178095
79	5.497862621
80	5.414707998
81	5.336348746
82	5.274484314
83	5.204227781
84	5.137581978
85	5.071644572
86	5.01126718
87	4.954407407
88	4.893845641
89	4.828523904
90	4.771130751
91	4.715145653
92	4.669115047
93	4.624252671
94	4.573571345
95	4.545641294
96	4.506573698
97	4.46241971
98	4.422716178
99	4.370852032
100	4.329323146
101	4.28870757
102	4.248609831
103	4.210133856
104	4.182438903
105	4.151390405
106	4.123065894
107	4.093827496
108	4.061637059
109	4.041089757
110	4.003612774
111	3.967975328
112	3.94780474
113	3.911799857
114	3.889832446
115	3.864440961
116	3.840455208
117	3.809295114
118	3.780015576
119	3.761695818
120	3.726080273
121	3.693615447
122	3.667592231
123	3.628331314
124	3.6034049
125	3.572712784
126	3.555390952
127	3.533109363
128	3.510962699
129	3.485329634
130	3.453130313
131	3.428169696
132	3.400449619
133	3.385426096
134	3.358668019
135	3.339033719
136	3.305204496
137	3.281184263
138	3.264746495
139	3.250159988
140	3.232449681
141	3.205728106
142	3.18467985
143	3.167159658
144	3.140886387
145	3.118907102
146	3.096997107
147	3.074425731
148	3.052894562
149	3.035387004
150	3.01129134
151	2.989053203
152	2.967798264
153	2.942112049
154	2.921595253
155	2.901521337
156	2.875890068
157	2.86154746
158	2.837445589
159	2.829947821
160	2.809623649
161	2.794507509
162	2.774020752
163	2.764842435
164	2.750195649
165	2.731705358
166	2.709316078
167	2.689790681
168	2.662231044
169	2.652326982
170	2.626595022
171	2.610004649
172	2.592485988
173	2.57895837
174	2.557918004
175	2.545545499
176	2.525827429
177	2.507968389
178	2.488259027
179	2.469126589
180	2.452229714
181	2.437512525
182	2.421481503
183	2.412931585
184	2.395697416
185	2.384680551
186	2.369558603
187	2.347542298
188	2.342794121
189	2.334858273
190	2.318373077
191	2.300999393
192	2.283875377
193	2.268579106
194	2.263647235
195	2.249590232
196	2.235772033
197	2.220973078
198	2.207649388
199	2.194190153
