iter	Passed	Remaining
0	38	7563
1	92	9181
2	144	9492
3	189	9290
4	243	9498
5	294	9515
6	354	9775
7	412	9889
8	447	9486
9	486	9244
10	560	9630
11	635	9951
12	688	9909
13	759	10095
14	801	9890
15	832	9573
16	878	9459
17	926	9370
18	981	9347
19	1023	9209
20	1069	9112
21	1137	9205
22	1196	9204
23	1256	9217
24	1310	9170
25	1338	8954
26	1383	8862
27	1425	8756
28	1462	8623
29	1504	8523
30	1544	8420
31	1591	8355
32	1638	8293
33	1677	8191
34	1716	8090
35	1753	7987
36	1792	7897
37	1832	7811
38	1870	7719
39	1917	7670
40	1956	7587
41	1996	7509
42	2038	7442
43	2071	7344
44	2112	7276
45	2143	7176
46	2185	7113
47	2225	7046
48	2253	6945
49	2288	6866
50	2324	6792
51	2358	6713
52	2399	6654
53	2446	6614
54	2496	6582
55	2539	6530
56	2602	6528
57	2641	6468
58	2684	6415
59	2724	6356
60	2767	6306
61	2813	6262
62	2859	6219
63	2890	6141
64	2917	6059
65	2944	5979
66	2973	5901
67	3001	5825
68	3029	5750
69	3062	5687
70	3094	5622
71	3127	5559
72	3162	5501
73	3194	5439
74	3229	5381
75	3264	5326
76	3296	5265
77	3331	5210
78	3362	5150
79	3396	5095
80	3430	5039
81	3463	4984
82	3491	4921
83	3521	4863
84	3548	4800
85	3578	4744
86	3604	4681
87	3630	4620
88	3659	4563
89	3685	4505
90	3713	4448
91	3745	4396
92	3774	4342
93	3799	4284
94	3827	4230
95	3855	4176
96	3887	4128
97	3921	4081
98	3958	4038
99	4006	4006
100	4039	3959
101	4075	3915
102	4107	3868
103	4140	3822
104	4178	3780
105	4211	3734
106	4244	3689
107	4276	3643
108	4306	3595
109	4332	3544
110	4359	3495
111	4387	3447
112	4412	3397
113	4442	3351
114	4484	3314
115	4529	3280
116	4593	3258
117	4624	3213
118	4659	3171
119	4706	3137
120	4770	3114
121	4825	3085
122	4891	3062
123	4944	3030
124	4973	2984
125	5009	2941
126	5050	2902
127	5085	2860
128	5119	2817
129	5150	2773
130	5186	2731
131	5220	2689
132	5254	2647
133	5308	2614
134	5356	2578
135	5402	2542
136	5447	2504
137	5488	2466
138	5533	2428
139	5577	2390
140	5620	2351
141	5665	2313
142	5705	2274
143	5739	2232
144	5774	2190
145	5809	2148
146	5850	2109
147	5886	2068
148	5921	2026
149	5962	1987
150	5993	1944
151	6018	1900
152	6045	1857
153	6069	1812
154	6096	1769
155	6121	1726
156	6147	1683
157	6171	1640
158	6198	1598
159	6222	1555
160	6251	1514
161	6278	1472
162	6301	1430
163	6330	1389
164	6353	1347
165	6379	1306
166	6404	1265
167	6430	1224
168	6454	1184
169	6481	1143
170	6513	1104
171	6543	1065
172	6578	1026
173	6610	987
174	6638	948
175	6665	908
176	6695	869
177	6729	831
178	6766	793
179	6799	755
180	6834	717
181	6869	679
182	6905	641
183	6938	603
184	6970	565
185	7005	527
186	7041	489
187	7073	451
188	7106	413
189	7137	375
190	7163	337
191	7191	299
192	7215	261
193	7242	223
194	7267	186
195	7292	148
196	7320	111
197	7345	74
198	7375	37
199	7402	0
